Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.77,
auto,auto_skim.Time,,-0.025,
bus,Constant,,3.41,
bus,bus_skim.IVTT,,-0.025,
bus,bus_skim.Fare,,-1.11,
bus,bus_skim.AccessWalkTime,,-0.0406,
bus,bus_skim.InitWaitTime,,-0.0406,
bus,bus_skim.EgressWalkTime,,-0.0406,
tnc,auto_skim.Time,,-0.025,
walk,Constant,,3.6,
walk,walk_skim.Time,,-0.0811,
walk,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.74,
bike,Constant,,-2.27,
bike,bike_skim.Time,,-0.0811,
bike,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.74,
