Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,0.652,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.372,
bus,Constant,,1.07,
bus,trans_skim.IVTT,,-0.025,
bus,trans_skim.Fare,,-0.719,
bus,trans_skim.AccessWalkTime,,-0.0311,
bus,trans_skim.InitWaitTime,,-0.0311,
bus,trans_skim.EgressWalkTime,,-0.0311,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.372,
walk,Constant,,3,
walk,walk_skim.Time,,-0.0539,
walk,walk_skim.IZ,,-0.357,
walk,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.63,
bike,Constant,,-3.69,
bike,bike_skim.Time,,-0.0539,
bike,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.63,
