Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.33,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.765,
bus,Constant,,2.91,
bus,trans_skim.IVTT,,-0.025,
bus,trans_skim.Fare,,-2.03,
bus,trans_skim.AccessWalkTime,,-0.0492,
bus,trans_skim.InitWaitTime,,-0.0492,
bus,trans_skim.EgressWalkTime,,-0.0492,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.765,
walk,Constant,,3.38,
walk,walk_skim.Time,,-0.0583,
walk,walk_skim.IZ,,-0.636,
walk,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.32,
bike,Constant,,-2.31,
bike,bike_skim.Time,,-0.0583,
bike,"se.AreaType.O = ""Downtown"" & se.AreaType.D = ""Downtown""",,1.32,
